ID,name,sub_category,country_name,launched,deadline,goal,pledged,currency,outcome
9178,"Bring Some Famed Musicians to an ALS event",Music,"N,0"","2016-02-23 00:00:00","2016-04-03 00:00:00",2000,0,USD,undefined
9179,"Upcycled Lighting for the Modern Drinker","Product Design",US,"2016-02-29 00:00:00","2016-03-31 00:00:00",5000,1636,USD,failed
9180,"Jeff Easley/R. Scott Taylor Retro-Fantasy Book Launch",Fiction,US,"2012-01-17 00:00:00","2012-02-16 00:00:00",2500,8726.66,USD,successful
9181,"The Just-So Stories / Die Nur-So Geschichten",Theater,US,"2014-05-05 00:00:00","2014-06-04 00:00:00",5000,5206,USD,successful
9182,"Tulie's Garden: the book",Comics,US,"2011-08-04 00:00:00","2011-09-04 00:00:00",10000,10236.38,USD,successful
9183,"The American Craftsman Project",Photography,US,"2012-06-25 00:00:00","2012-08-03 00:00:00",14500,15308,USD,successful
9184,"MILLENNIUM ADVENTURES: RPG Book-Videos-Maps-App-Miniatures","Tabletop Games",US,"2015-04-10 00:00:00","2015-05-18 00:00:00",49750,1360.99,USD,canceled
9185,"Tosca, back to Rome",Music,IT,"2016-04-13 00:00:00","2016-05-13 00:00:00",794362.3,1.13,EUR,failed
9186,"THE UNTOLD STORY OF DETROIT HIP HOP",Documentary,US,"2011-06-07 00:00:00","2011-07-22 00:00:00",9000,645,USD,failed
9187,"Boys, Bicycles & Bruises",Fiction,US,"2015-11-17 00:00:00","2015-12-17 00:00:00",18000,0,USD,failed
9188,"Mama's Kittens! Make Meow The Best Son Ever!",Animals,US,"2014-07-12 00:00:00","2014-08-11 00:00:00",10,15,USD,successful
9189,"Shadowfist: The Coming Darkness","Tabletop Games",US,"2014-04-01 00:00:00","2014-05-01 00:00:00",20000,25182,USD,successful
9190,"Smartbook Hawaii (Canceled)",Photography,US,"2013-05-21 00:00:00","2013-06-20 00:00:00",6500,51,USD,canceled
9191,"SOBAM: The Gym Bag Made to Last","Product Design",US,"2017-11-01 00:00:00","2017-12-02 00:00:00",6000,7421,USD,successful
9192,"More Than Hope ~ A Tactical Guide to Addiction Intervention",Nonfiction,US,"2015-02-10 00:00:00","2015-03-12 00:00:00",18000,2685,USD,failed
9193,"Sex Trafficking Photo Project: China to Iceland",Photography,US,"2012-11-12 00:00:00","2012-12-07 00:00:00",7000,9620,USD,successful
9194,"The Exchange Wallet: Hand finished, laser etched leather","Product Design",GB,"2017-05-02 00:00:00","2017-05-30 00:00:00",1735.22,3580.98,GBP,successful
9195,"SPACE CHASE tm","Tabletop Games",US,"2016-06-05 00:00:00","2016-07-07 00:00:00",6900,291,USD,failed
9196,"Handmade sustainable gifts and crafts from London",DIY,GB,"2014-09-19 00:00:00","2014-10-19 00:00:00",441.39,1.61,GBP,failed
9197,"Pride: The New York City Gay Men’s Chorus",Shorts,US,"2010-10-29 00:00:00","2010-12-22 00:00:00",500,0,USD,failed
9198,"A Leather Belt that will last for decades-Workshop Campaign",Crafts,US,"2014-10-29 00:00:00","2014-11-28 00:00:00",1000,3852,USD,successful
