ID,name,sub_category,country_name,launched,deadline,goal,pledged,currency,backers,outcome
2932,"Tribes: Early Civilization","Tabletop Games",SE,"2017-03-10 00:00:00","2017-04-09 00:00:00",33281.19,39630.14,SEK,710,successful
5519,"PIRATE DEN: a pirate-themed bluffing game","Tabletop Games",US,"2014-03-10 00:00:00","2014-04-11 00:00:00",25000,39352.75,USD,697,successful
3107,"Karnivore Koala","Tabletop Games",DE,"2015-05-12 00:00:00","2015-06-12 00:00:00",5609.97,38226.35,EUR,1107,successful
3827,Groves,"Tabletop Games",US,"2017-06-06 00:00:00","2017-07-07 00:00:00",8800,38123,USD,957,successful
2871,"THON (Canceled)","Tabletop Games",US,"2013-03-02 00:00:00","2013-03-31 00:00:00",35000,37954,USD,305,canceled
6079,"Bake Your Own Basius - Basing Pads for Wargames Miniatures","Tabletop Games",GB,"2013-08-21 00:00:00","2013-09-15 00:00:00",2402.92,37796.36,GBP,287,successful
13292,"Special Committee - A Politcal Strategy Tabletop Game","Tabletop Games",US,"2016-09-22 00:00:00","2016-10-26 00:00:00",65000,36980.87,USD,272,failed
12438,"Board Game Creative Kit","Tabletop Games",US,"2017-10-18 00:00:00","2017-11-16 00:00:00",10000,36127.5,USD,445,successful
11964,"3D Bases - Modular Terrain","Tabletop Games",IT,"2016-06-20 00:00:00","2016-07-05 00:00:00",27675.07,35992.54,EUR,238,successful
9403,"Mechanical Dice Towers","Tabletop Games",US,"2016-05-24 00:00:00","2016-06-23 00:00:00",1000,34972,USD,747,successful
2943,"Carnival - A deck and dice game.","Tabletop Games",US,"2011-08-17 00:00:00","2011-10-02 00:00:00",5000,34436.65,USD,814,successful
9029,"Belfort: The Expansion Expansion","Tabletop Games",US,"2013-04-22 00:00:00","2013-05-09 00:00:00",20000,34101.01,USD,977,successful
3065,"Tavern Masters - Extended Print Run","Tabletop Games",US,"2017-03-01 00:00:00","2017-03-28 00:00:00",6500,33154,USD,566,successful
11603,"DUNGEONS of the MOUNTAIN KING","Tabletop Games",US,"2013-03-24 00:00:00","2013-04-29 00:00:00",500,32547,USD,416,successful
2372,"Demigods Rising: Clash of Heroes (Canceled)","Tabletop Games",US,"2014-03-03 00:00:00","2014-04-17 00:00:00",49000,32535,USD,315,canceled
4970,"Vampires vs. Unicorns: Floor War Game","Tabletop Games",US,"2017-03-29 00:00:00","2017-04-28 00:00:00",28000,32508,USD,403,successful
3671,Lyssan,"Tabletop Games",US,"2011-06-18 00:00:00","2011-08-17 00:00:00",20000,31632.25,USD,487,successful
6910,"Barbarian Hordes by Red Box Games","Tabletop Games",US,"2015-02-17 00:00:00","2015-03-20 00:00:00",8000,30722,USD,262,successful
7502,"Isle of Monsters - A Monster Wrangling Game for 2-5 Players","Tabletop Games",US,"2016-08-02 00:00:00","2016-08-24 00:00:00",5000,30013.52,USD,1034,successful
4386,"Clades, the Evolutionary Card Game","Tabletop Games",US,"2016-10-17 00:00:00","2016-12-07 00:00:00",8000,29538,USD,805,successful
4863,"Steampunk Goggles Playing Cards Deck - USPCC Bicycle ® LE","Tabletop Games",US,"2013-12-11 00:00:00","2014-01-10 00:00:00",24000,28987.12,USD,681,successful
9278,"Final Boss: The card game","Tabletop Games",ES,"2017-07-28 00:00:00","2017-08-27 00:00:00",10727.95,28743.76,EUR,717,successful
537,Tortuga,"Tabletop Games",US,"2014-01-25 00:00:00","2014-02-14 00:00:00",10000,28490.42,USD,572,successful
12040,"The Voting Game - The party game about your friends.","Tabletop Games",US,"2015-07-16 00:00:00","2015-08-19 00:00:00",7500,28278,USD,699,successful
1641,"CATaclysm: the RPG of Feline Proportions","Tabletop Games",CA,"2017-10-14 00:00:00","2017-11-13 00:00:00",14104.37,28156.25,CAD,470,successful
6828,"Ghostel: The Board Game","Tabletop Games",GB,"2016-01-26 00:00:00","2016-02-26 00:00:00",24948.64,28103.93,GBP,505,successful
2800,"Mad About Trivia™ MOVIES Edition, Board Game","Tabletop Games",US,"2012-03-16 00:00:00","2012-04-15 00:00:00",25000,28083,USD,20,successful
7894,"Watch Ya' Mouth - A Hilarious Mouthguard Party Game","Tabletop Games",US,"2016-05-24 00:00:00","2016-06-24 00:00:00",6000,27586,USD,670,successful
2798,"Shadowfist: A Better Tomorrow","Tabletop Games",US,"2017-10-12 00:00:00","2017-11-13 00:00:00",30000,27268,USD,177,failed
908,"Bicycle Imperium Playing Cards Deck","Playing Cards",US,"2016-09-22 00:00:00","2016-10-22 00:00:00",7500,26893,USD,505,successful
5697,"Rabbit Island: Explore, Build, Conquer!","Tabletop Games",US,"2017-06-12 00:00:00","2017-07-18 00:00:00",14500,26788,USD,696,successful
5255,"The World's Worst Dungeon Crawl!","Tabletop Games",US,"2013-04-23 00:00:00","2013-05-19 00:00:00",16000,26671,USD,500,successful
991,"Board Game Bowls upgraded","Tabletop Games",NZ,"2017-11-06 00:00:00","2017-11-27 00:00:00",1027.61,26525.31,NZD,398,successful
10354,"Kings of Air and Steam : Worlds Fair","Tabletop Games",US,"2015-09-01 00:00:00","2015-09-19 00:00:00",40000,26271,USD,591,failed
10013,"World Control - boardgame-perfection","Tabletop Games",AT,"2016-10-15 00:00:00","2016-11-09 00:00:00",25805.54,25807.35,EUR,153,successful
8817,"Liberty Back Playing Card Decks Designed By Jackson Robinson","Playing Cards",US,"2016-04-01 00:00:00","2016-05-01 00:00:00",5000,25412,USD,356,successful
